entity_id,canonical_name,normalized_name,symbol,market,exchange,entity_type,industry_name,status
5865,货币ETF易方达,货币ETF易方达,159001.SZ,CN,SZSE,etf,,active
5815,招商快线ETF,招商快线ETF,159003.SZ,CN,SZSE,etf,,active
5817,快钱ETF汇添富,快钱ETF汇添富,159005.SZ,CN,SZSE,etf,,active
6768,养殖ETF华泰柏瑞,养殖ETF华泰柏瑞,159007.SZ,CN,SZSE,etf,,active
5771,创业板新能源ETF易方达,创业板新能源ETF易方达,159009.SZ,CN,SZSE,etf,,active
6812,石油ETF华宝,石油ETF华宝,159019.SZ,CN,SZSE,etf,,active
6903,科创创业人工智能ETF富国,科创创业人工智能ETF富国,159022.SZ,CN,SZSE,etf,,active
6786,石油ETF南方,石油ETF南方,159026.SZ,CN,SZSE,etf,,active
6653,巴西ETF华夏,巴西ETF华夏,159100.SZ,CN,SZSE,etf,,active
6241,港股通科技ETF华夏,港股通科技ETF华夏,159101.SZ,CN,SZSE,etf,,active
5993,港股通生物科技ETF华安,港股通生物科技ETF华安,159102.SZ,CN,SZSE,etf,,active
6666,金融科技ETF汇添富,金融科技ETF汇添富,159103.SZ,CN,SZSE,etf,,active
5966,恒生生物科技ETF易方达,恒生生物科技ETF易方达,159105.SZ,CN,SZSE,etf,,active
6638,民企300ETF前海开源,民企300ETF前海开源,159106.SZ,CN,SZSE,etf,,active
6686,创业板软件ETF富国,创业板软件ETF富国,159107.SZ,CN,SZSE,etf,,active
6848,工业软件ETF博时,工业软件ETF博时,159108.SZ,CN,SZSE,etf,,active
6064,恒生50ETF景顺,恒生50ETF景顺,159109.SZ,CN,SZSE,etf,,active
6087,港股通红利低波ETF鹏华,港股通红利低波ETF鹏华,159117.SZ,CN,SZSE,etf,,active
6089,港股通红利低波ETF华夏,港股通红利低波ETF华夏,159118.SZ,CN,SZSE,etf,,active
6373,800现金流ETF招商,800现金流ETF招商,159119.SZ,CN,SZSE,etf,,active
5823,港股通科技ETF国联安,港股通科技ETF国联安,159120.SZ,CN,SZSE,etf,,active
6811,港股通汽车ETF易方达,港股通汽车ETF易方达,159121.SZ,CN,SZSE,etf,,active
5824,创业板新能源ETF富国,创业板新能源ETF富国,159122.SZ,CN,SZSE,etf,,active
6683,光伏ETF嘉实,光伏ETF嘉实,159123.SZ,CN,SZSE,etf,,active
6095,港股通科技ETF招商,港股通科技ETF招商,159125.SZ,CN,SZSE,etf,,active
6178,港股通50ETF南方,港股通50ETF南方,159126.SZ,CN,SZSE,etf,,active
6103,港股通红利ETF南方,港股通红利ETF南方,159127.SZ,CN,SZSE,etf,,active
6171,港股科技ETF天弘,港股科技ETF天弘,159128.SZ,CN,SZSE,etf,,active
5642,化工ETF嘉实,化工ETF嘉实,159129.SZ,CN,SZSE,etf,,active
5967,恒生生物科技ETF鹏华,恒生生物科技ETF鹏华,159130.SZ,CN,SZSE,etf,,active
5574,港股通信息技术ETF华宝,港股通信息技术ETF华宝,159131.SZ,CN,SZSE,etf,,active
5761,恒生生物科技ETF富国,恒生生物科技ETF富国,159132.SZ,CN,SZSE,etf,,active
5648,化工ETF天弘,化工ETF天弘,159133.SZ,CN,SZSE,etf,,active
5737,港股通科技ETF前海开源,港股通科技ETF前海开源,159135.SZ,CN,SZSE,etf,,active
6262,A50ETF广发,A50ETF广发,159136.SZ,CN,SZSE,etf,,active
6330,港股通医疗ETF华宝,港股通医疗ETF华宝,159137.SZ,CN,SZSE,etf,,active
6482,工程机械ETF易方达,工程机械ETF易方达,159138.SZ,CN,SZSE,etf,,active
6861,科创创业人工智能ETF华泰柏瑞,科创创业人工智能ETF华泰柏瑞,159139.SZ,CN,SZSE,etf,,active
6852,科创创业人工智能ETF易方达,科创创业人工智能ETF易方达,159140.SZ,CN,SZSE,etf,,active
6864,科创创业人工智能ETF永赢,科创创业人工智能ETF永赢,159141.SZ,CN,SZSE,etf,,active
6850,科创创业人工智能ETF景顺,科创创业人工智能ETF景顺,159142.SZ,CN,SZSE,etf,,active
6088,港股通央企红利ETF平安,港股通央企红利ETF平安,159143.SZ,CN,SZSE,etf,,active
6815,工业软件ETF广发,工业软件ETF广发,159145.SZ,CN,SZSE,etf,,active
6696,电力ETF华宝,电力ETF华宝,159146.SZ,CN,SZSE,etf,,active
5666,电池ETF南方,电池ETF南方,159147.SZ,CN,SZSE,etf,,active
6780,石油ETF富国,石油ETF富国,159148.SZ,CN,SZSE,etf,,active
5801,创业板新能源ETF工银,创业板新能源ETF工银,159149.SZ,CN,SZSE,etf,,active
6917,深证50ETF易方达,深证50ETF易方达,159150.SZ,CN,SZSE,etf,,active
6174,食品ETF华夏,食品ETF华夏,159151.SZ,CN,SZSE,etf,,active
5679,港股通科技ETF平安,港股通科技ETF平安,159152.SZ,CN,SZSE,etf,,active
